Day of week, Time, Capacity
Monday, 17:45, 53.6
Monday, 18:00, 53.6
Monday, 18:15, 70.4
Monday, 18:30, 64
Monday, 18:45, 64
Monday, 19:00, 68
Monday, 19:15, 68
Monday, 19:30, 68
Monday, 19:45, 73.6
Monday, 20:00, 58.4
Monday, 20:15, 58.4
Monday, 20:30, 58.4
Monday, 20:45, 59.2
Monday, 21:00, 49.6
Monday, 21:15, 53.6
Monday, 21:30, 44
Monday, 21:45, 44
Monday, 22:00, 40
Monday, 22:15, 40
Monday, 22:30, 16
Monday, 22:45, 16
Monday, 23:00, 0
Monday, 23:15, 0
Monday, 23:30, 0
Monday, 23:45, 0
Tuesday, 6:00, 0
Tuesday, 6:15, 12
Tuesday, 6:30, 12
Tuesday, 6:45, 44.8
Tuesday, 7:00, 44.8
Tuesday, 7:15, 26.4
Tuesday, 7:30, 26.4
Tuesday, 7:45, 24.8
Tuesday, 8:00, 24.8
Tuesday, 8:15, 24.8
Tuesday, 8:30, 24.8
Tuesday, 8:45, 28.8
Tuesday, 9:00, 28.8
Tuesday, 9:15, 18.4
Tuesday, 9:30, 18.4
Tuesday, 9:45, 25.6
Tuesday, 10:00, 24
Tuesday, 10:15, 24
Tuesday, 10:30, 24
Tuesday, 10:45, 14.4
Tuesday, 11:00, 14.4
Tuesday, 11:15, 16
Tuesday, 11:30, 29.6
Tuesday, 11:45, 29.6
Tuesday, 12:00, 25.6
Tuesday, 12:15, 25.6
Tuesday, 12:30, 25.6
Tuesday, 12:45, 28.8
Tuesday, 13:00, 36
Tuesday, 13:15, 36
Tuesday, 13:30, 36
Tuesday, 13:45, 34.4
Tuesday, 14:00, 24
Tuesday, 14:15, 24
Tuesday, 14:30, 24
Tuesday, 14:45, 42.4
Tuesday, 15:00, 42.4
Tuesday, 15:15, 44.8
Tuesday, 15:30, 31.2
Tuesday, 15:45, 31.2
Tuesday, 16:00, 31.2
Tuesday, 16:15, 52
Tuesday, 16:30, 68
Tuesday, 16:45, 68
Tuesday, 17:00, 68
Tuesday, 17:15, 28
Tuesday, 17:30, 28
Tuesday, 17:45, 36.8
Tuesday, 18:00, 36.8
Tuesday, 18:15, 60
Tuesday, 18:30, 42.4
Tuesday, 18:45, 42.4
Tuesday, 19:00, 42.4
Tuesday, 19:15, 51.2
Tuesday, 19:30, 51.2
Tuesday, 19:45, 52.8
Tuesday, 20:00, 52.8
Tuesday, 20:15, 54.4
Tuesday, 20:30, 54.4
Tuesday, 20:45, 46.4
Tuesday, 21:00, 46.4
Tuesday, 21:15, 51.2
Tuesday, 21:30, 51.2
Tuesday, 21:45, 47.2
Tuesday, 22:00, 47.2
Tuesday, 22:15, 37.6
Tuesday, 22:30, 37.6
Tuesday, 22:45, 26.4
Tuesday, 23:00, 26.4
Tuesday, 23:15, 0
Tuesday, 23:30, 0
Tuesday, 23:45, 0
Wednesday, 6:00, 0
Wednesday, 6:15, 0
Wednesday, 6:30, 0
Wednesday, 6:45, 52
Wednesday, 7:00, 52
Wednesday, 7:15, 57.6
Wednesday, 7:30, 57.6
Wednesday, 7:45, 57.6
Wednesday, 8:00, 46.4
Wednesday, 8:15, 46.4
Wednesday, 8:30, 46.4
Wednesday, 8:45, 28
Wednesday, 9:00, 28
Wednesday, 9:15, 10.4
Wednesday, 9:30, 10.4
Wednesday, 9:45, 28.8
Wednesday, 10:00, 28.8
Wednesday, 10:15, 13.6
Wednesday, 10:30, 13.6
Wednesday, 10:45, 13.6
Wednesday, 11:00, 13.6
Wednesday, 11:15, 19.2
Wednesday, 11:30, 19.2
Wednesday, 11:45, 51.2
Wednesday, 12:00, 51.2
Wednesday, 12:15, 28.8
Wednesday, 12:30, 31.2
Wednesday, 12:45, 31.2
Wednesday, 13:00, 31.2
Wednesday, 13:15, 51.2
Wednesday, 13:30, 22.4
Wednesday, 13:45, 21.6
Wednesday, 14:00, 21.6
Wednesday, 14:15, 8
Wednesday, 14:30, 8
Wednesday, 14:45, 36.8
Wednesday, 15:00, 36.8
Wednesday, 15:15, 32
Wednesday, 15:30, 32
Wednesday, 15:45, 37.6
Wednesday, 16:00, 37.6
Wednesday, 16:15, 47.2
Wednesday, 16:30, 50.4
Wednesday, 16:45, 50.4
Wednesday, 17:00, 50.4
Wednesday, 17:15, 50.4
Wednesday, 17:30, 50.4
Wednesday, 17:45, 58.4
Wednesday, 18:00, 58.4
Wednesday, 18:15, 58.4
Wednesday, 18:30, 58.4
Wednesday, 18:45, 55.2
Wednesday, 19:00, 55.2
Wednesday, 19:15, 55.2
Wednesday, 19:30, 41.6
Wednesday, 19:45, 41.6
Wednesday, 20:00, 46.4
Wednesday, 20:15, 46.4
Wednesday, 20:30, 46.4
Wednesday, 20:45, 40.8
Wednesday, 21:00, 40.8
Wednesday, 21:15, 36.8
Wednesday, 21:30, 36.8
Wednesday, 21:45, 41.6
Wednesday, 22:00, 22.4
Wednesday, 22:15, 22.4
Wednesday, 22:30, 22.4
Wednesday, 22:45, 10.4
Wednesday, 23:00, 10.4
Wednesday, 23:15, 0
Wednesday, 23:30, 0
Wednesday, 23:45, 0
Thursday, 6:00, 0
Thursday, 6:15, 0
Thursday, 6:30, 0
Thursday, 6:45, 35.2
Thursday, 7:00, 35.2
Thursday, 7:15, 41.6
Thursday, 7:30, 41.6
Thursday, 7:45, 28.8
Thursday, 8:00, 28.8
Thursday, 8:15, 36.8
Thursday, 8:30, 36.8
Thursday, 8:45, 36.8
Thursday, 9:00, 36.8
Thursday, 9:15, 12
Thursday, 9:30, 27.2
Thursday, 9:45, 27.2
Thursday, 10:00, 27.2
Thursday, 10:15, 27.2
Thursday, 10:30, 27.2
Thursday, 10:45, 14.4
Thursday, 11:00, 14.4
Thursday, 11:15, 17.6
Thursday, 11:30, 17.6
Thursday, 11:45, 25.6
Thursday, 12:00, 22.4
Thursday, 12:15, 22.4
Thursday, 12:30, 19.2
Thursday, 12:45, 19.2
Thursday, 13:00, 43.2
Thursday, 13:15, 43.2
Thursday, 13:30, 46.4
Thursday, 13:45, 46.4
Thursday, 14:00, 26.4
Thursday, 14:15, 26.4
Thursday, 14:30, 26.4
Thursday, 14:45, 44.8
Thursday, 15:00, 44.8
Thursday, 15:15, 40
Thursday, 15:30, 40
Thursday, 15:45, 40
Thursday, 16:00, 40
Thursday, 16:15, 64.8
Thursday, 16:30, 64.8
Thursday, 16:45, 65.6
Thursday, 17:00, 65.6
Thursday, 17:15, 46.4
Thursday, 17:30, 46.4
Thursday, 17:45, 43.2
Thursday, 18:00, 59.2
Thursday, 18:15, 59.2
Thursday, 18:30, 59.2
Thursday, 18:45, 37.6
Thursday, 19:00, 23.2
Thursday, 19:15, 23.2
Thursday, 19:30, 23.2
Thursday, 19:45, 21.6
Thursday, 20:00, 20
Thursday, 20:15, 20
Thursday, 20:30, 20
Thursday, 20:45, 28
Thursday, 21:00, 28
Thursday, 21:15, 24
Thursday, 21:30, 24
Thursday, 21:45, 12
Thursday, 22:00, 12
Thursday, 22:15, 14.4
Thursday, 22:30, 14.4
Thursday, 22:45, 14.4
Thursday, 23:00, 14.4
Thursday, 23:15, 0
Thursday, 23:30, 0
Friday, 8:30, 31.2
Friday, 8:45, 30.4
Friday, 9:00, 18.4
Friday, 9:15, 18.4
Friday, 9:30, 32
Friday, 9:45, 32
Friday, 10:00, 10.4
Friday, 10:15, 10.4
Friday, 10:30, 20.8
Friday, 10:45, 20.8
Friday, 11:00, 20.8
Friday, 11:15, 24.8
Friday, 11:30, 24.8
Friday, 11:45, 18.4
Friday, 12:00, 18.4
Friday, 12:15, 24
Friday, 12:30, 24
Friday, 12:45, 34.4
Friday, 13:00, 34.4
Friday, 13:15, 36
Friday, 13:30, 36
Friday, 13:45, 36
Friday, 14:00, 36
Friday, 14:15, 33.6
Friday, 14:30, 36
Friday, 14:45, 36
Friday, 15:00, 29.6
Friday, 15:15, 29.6
Friday, 15:30, 29.6
Friday, 15:45, 27.2
Friday, 16:00, 27.2
Friday, 16:15, 16.8
Friday, 16:30, 16.8
Friday, 16:45, 13.6
Friday, 17:00, 15.2
Friday, 17:15, 15.2
Friday, 17:30, 15.2
Friday, 17:45, 18.4
Friday, 18:00, 20
Friday, 18:15, 20
Friday, 18:30, 16
Friday, 18:45, 16
Friday, 19:00, 16
Friday, 19:15, 20
Friday, 19:30, 20
Friday, 19:45, 16
